"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW";"SW_SPDT_CK-JS102011SAQN_BM";1;"SW_DIP_x01";;;
2;"Battery";"CR2032V";1;"Battery_Cell";;;
3;"C1,C5";"C_0603";2;".1u";;;
4;"C2,C4";"C_0603";2;".33u";;;
5;"C3";"C_0603";1;"10n";;;
6;"C6";"C_0603";1;".5n";;;
7;"C7";"C_0603";1;"1n";;;
8;"C8,C11";"C_0603";2;"200p";;;
9;"C9,C10";"C_0603";2;"4.7u";;;
10;"LED";"LED_0603";1;"LED_ALT";;;
11;"LA";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"L";;;
12;"RA";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"R";;;
13;"LA";"SolderWirePad_single_SMD_5x10mm";1;"LA";;;
14;"RA";"SolderWirePad_single_SMD_5x10mm";1;"RA";;;
15;"Gnd";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"Gnd";;;
16;"AOut";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"Out";;;
17;"Vdd";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"Vdd";;;
18;"DRL";"SolderWirePad_single_SMD_5x10mm";1;"DRL";;;
19;"Coil0";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"Coil0";;;
20;"Coil1";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"Coil1";;;
21;"DRL";"Pin_Header_Straight_1x01_Pitch1.00mm";1;"D";;;
22;"SDN";"Measurement_Point_Square-SMD-Pad_Small";1;"SDN";;;
23;"Lo+";"Measurement_Point_Square-SMD-Pad_Small";1;"LO+";;;
24;"Lo-";"Measurement_Point_Square-SMD-Pad_Small";1;"LO-";;;
25;"L1";"WireConnection_0.80mmDrill_ThinPad";1;"L";;;
26;"Q1";"SOT-143";1;"3SK263";;;
27;"Q2";"SOT-23";1;"BC817";;;
28;"R1,R2,R4,R6,R9,R10";"R_0603";6;"10M";;;
29;"R3,R5";"R_0603";2;"180k";;;
30;"R7";"R_0603";1;"1.4M";;;
31;"R8";"R_0603";1;"100k";;;
32;"R11,R12,R13";"R_0603";3;"1M";;;
33;"R14,R19,R21";"R_0603";3;"10k";;;
34;"R15";"R_0603";1;"300k";;;
35;"R16,R22";"R_0603";2;"1k";;;
36;"Itest";"R_0603";1;"DNP";;;
37;"R18,R20";"R_0603";2;"27k";;;
38;"U1";"QFN-20-1EP_4x4mm_Pitch0.5mm";1;"AD8232ACPZ-R7";;;
39;"0";"R_0603";1;"R_0603";;;
